,Date,Deaths,UK,England,Scotland,Wales,Northern Ireland
0,2020-03-10,,6.0,,,,
1,2020-03-11,,,,,,
2,2020-03-12,,8.0,,,,
3,2020-03-13,,,,,,
4,2020-03-14,,21.0,,,,
5,2020-03-15,14.0,35.0,,,,
6,2020-03-16,20.0,55.0,,,,
7,2020-03-17,16.0,71.0,,,,
8,2020-03-18,32.0,103.0,,,,
9,2020-03-19,41.0,144.0,,,,
10,2020-03-20,33.0,177.0,,,,
11,2020-03-21,56.0,233.0,,,,
12,2020-03-22,48.0,281.0,,,,
13,2020-03-23,54.0,335.0,,,,
14,2020-03-24,87.0,422.0,,,,
15,2020-03-25,41.0,463.0,,,,
16,2020-03-26,115.0,578.0,,,,
17,2020-03-27,181.0,759.0,679.0,33.0,34.0,13.0
18,2020-03-28,260.0,1019.0,926.0,40.0,38.0,15.0
19,2020-03-29,209.0,1228.0,1125.0,40.0,48.0,15.0
20,2020-03-30,180.0,1408.0,1284.0,41.0,62.0,21.0
21,2020-03-31,381.0,1789.0,1651.0,47.0,69.0,22.0
22,2020-04-01,563.0,2352.0,2166.0,60.0,98.0,28.0
23,2020-04-02,569.0,2921.0,2698.0,76.0,117.0,30.0
24,2020-04-03,684.0,3605.0,3302.0,126.0,141.0,36.0
25,2020-04-04,708.0,4313.0,3939.0,172.0,154.0,48.0
26,2020-04-05,621.0,4934.0,4494.0,218.0,166.0,56.0
27,2020-04-06,439.0,5373.0,4897.0,220.0,193.0,63.0
28,2020-04-07,786.0,6159.0,5655.0,222.0,212.0,70.0
29,2020-04-08,938.0,7097.0,6483.0,296.0,245.0,73.0
